unit_number	unit_name	section_number	section_name	content	level	has_analysis	prerequisites	difficulty_level	difficulty_score	difficulty_confidence	complexity_factors	bloom_level	bloom_confidence	cognitive_processes	educational_standards	cross_disciplinary_connections
Unit 1	Introduction to Physics	1.5	Scientific Inquiry	"Nature of scientific investigation.
**Level**: High School, Undergraduate, Graduate
**Reference**: OpenStax High School Physics, Chapter 1.2: The Scientific Methods; College Physics 2e, Chapter 1.1: Physics: An Introduction; University Physics Volume 1, Chapter 1.7: Solving Problems in Physics"	undergraduate	Yes	Basic logical reasoning; Basic mathematics (arithmetic); Basic reading comprehension; Understanding of observations and measurements; Basic documentation skills	beginner	3	0.9	Abstract thinking about methodology; Understanding experimental design; Distinguishing between correlation and causation; Learning systematic approach to problem-solving; Applying critical thinking skills	analyze	0.9	examining components of scientific method; differentiating between observation and inference; organizing investigative procedures; comparing methodologies; distinguishing between variables	NGSS: HS-PS1-1; NGSS: HS-PS2-6; AP Physics: SP.1; AP Physics: SP.4	Mathematics (strong); Philosophy (strong); Computer Science (moderate); History (moderate); English/Writing (moderate); Psychology (moderate)
Unit 1	Introduction to Physics	1.6	Observational Methods	"Techniques for observing phenomena.
**Level**: High School, Undergraduate, Graduate
**Reference**: OpenStax High School Physics, Chapter 1.2: The Scientific Methods; College Physics 2e, Chapter 1.1: Physics: An Introduction; University Physics Volume 1, Chapter 1.7: Solving Problems in Physics"	undergraduate	Yes	"Basic scientific method understanding; Basic measurement concepts; Units and unit conversion; Data recording techniques; Basic mathematics (arithmetic, basic algebra); Graph interpretation; Error and uncertainty concepts"	beginner	2	0.9	Basic scientific method concepts; Simple observational techniques; Fundamental measurement skills; Basic data collection methods; Introduction to scientific tools	apply	0.85	implementing; executing; using; carrying out; demonstrating	NGSS: HS-PS1-1; NGSS: HS-PS2-6; AP Physics 1: SP.4; AP Physics 1: SP.5	Mathematics (strong); Computer Science (strong); Chemistry (strong); Biology (moderate); Psychology (moderate); Engineering (strong)
Unit 1	Introduction to Physics	1.7	Question Formulation	"Forming testable questions.
**Level**: High School, Undergraduate, Graduate
**Reference**: OpenStax High School Physics, Chapter 1.2: The Scientific Methods; College Physics 2e, Chapter 1.1: Physics: An Introduction; University Physics Volume 1, Chapter 1.7: Solving Problems in Physics"	undergraduate	Yes	Basic scientific method understanding; Variables and controls in experiments; Observation and measurement basics; Basic logical reasoning; Cause and effect relationships; Basic mathematical concepts (dependent/independent variables)	intermediate	6	0.85	Requires critical thinking skills; Needs understanding of scientific methodology; Involves logical reasoning; Requires understanding of variable control; Must comprehend causality and correlation	create	0.95	generating hypotheses; designing experiments; formulating problems; developing research questions; constructing testable scenarios	NGSS: HS-PS1-1; NGSS: Science and Engineering Practice 1; AP Physics: Science Practice 3; AP Physics: Science Practice 4	Mathematics (strong); Philosophy (strong); Research Methods (strong); English/Writing (moderate); Computer Science (moderate)
Unit 1	Introduction to Physics	1.8	Hypothesis Development	"Creating predictions.
**Level**: High School, Undergraduate, Graduate
**Reference**: OpenStax High School Physics, Chapter 1.2: The Scientific Methods; College Physics 2e, Chapter 1.1: Physics: An Introduction; University Physics Volume 1, Chapter 1.7: Solving Problems in Physics"	undergraduate	Yes	Basic scientific method understanding; Variables and their relationships; Cause and effect relationships; Basic logic and reasoning skills; Data interpretation basics; Mathematical reasoning fundamentals; Observation skills	intermediate	6	0.85	Requires understanding of scientific method fundamentals; Needs critical thinking skills; Involves systematic analysis; Requires background knowledge of physics concepts; Must understand causality and correlation	create	0.95	generating hypotheses; predicting outcomes; constructing theories; designing experiments; formulating models	NGSS: HS-PS1-2; NGSS: SEP-3; AP Physics: SP.4; AP Physics: SP.6	Mathematics (strong); Chemistry (strong); Biology (strong); Philosophy (moderate); Computer Science (moderate)
Unit 1	Introduction to Physics	1.9	Experimental Design	"Planning experiments.
**Level**: High School, Undergraduate, Graduate
**Reference**: OpenStax High School Physics, Chapter 1.2: The Scientific Methods; College Physics 2e, Chapter 1.1: Physics: An Introduction; University Physics Volume 1, Chapter 1.7: Solving Problems in Physics"	undergraduate	Yes	"Basic mathematics (arithmetic, algebra); Scientific notation; Basic measurement concepts; Understanding of variables and controls; Data collection methods; Basic statistics (mean, median, error); Graph interpretation; Units and unit conversion"	intermediate	6	0.85	requires systematic thinking; involves multiple variables and controls; needs understanding of measurement uncertainty; requires statistical analysis; demands critical thinking and problem-solving skills	create	0.95	designing; planning; constructing; hypothesizing; developing procedures; controlling variables	NGSS: HS-PS1-1; NGSS: HS-PS2-5; AP Physics: SP.4; AP Physics: SP.2	Mathematics (strong); Chemistry (strong); Computer Science (moderate); Engineering (strong); Scientific Writing (moderate)
Unit 1	Introduction to Physics	1.10	Data Collection	"Gathering experimental data.
**Level**: High School, Undergraduate, Graduate
**Reference**: OpenStax High School Physics, Chapter 1.2: The Scientific Methods; College Physics 2e, Chapter 1.1: Physics: An Introduction; University Physics Volume 1, Chapter 1.7: Solving Problems in Physics"	undergraduate	Yes	"Basic mathematics (arithmetic, percentages); Scientific notation; Basic measurement concepts; Understanding of units; Graph interpretation basics; Basic statistical concepts (mean, median, mode); Understanding of significant figures; Basic laboratory safety"	beginner	2	0.9	Basic measurement techniques; Understanding of units; Following experimental procedures; Recording data systematically; Basic error analysis	apply	0.9	executing experimental procedures; implementing measurement techniques; recording observations; following protocols; organizing data	NGSS: HS-PS1-7; NGSS: Science and Engineering Practices; AP Physics 1: Science Practice 4; AP Physics 1: Science Practice 5	Mathematics (strong); Computer Science (strong); Chemistry (strong); Biology (moderate); Engineering (strong); Psychology (moderate)
Unit 1	Introduction to Physics	1.11	Data Analysis	"Interpreting results.
**Level**: High School, Undergraduate, Graduate
**Reference**: OpenStax High School Physics, Chapter 1.2: The Scientific Methods; College Physics 2e, Chapter 1.3: Accuracy, Precision, and Significant Figures; University Physics Volume 1, Chapter 1.7: Solving Problems in Physics"	undergraduate	Yes	"Basic mathematics (arithmetic operations); Basic algebra; Graph interpretation; Scientific notation; Basic statistics concepts (mean, median, mode); Understanding of measurement units; Significant figures; Basic error analysis concepts"	intermediate	6	0.9	Statistical analysis requirements; Error propagation understanding; Graph interpretation skills; Critical thinking needs; Mathematical literacy	analyze	0.9	interpreting data; examining relationships; finding patterns; drawing conclusions; comparing results; organizing information	NGSS: HS-PS1-7; NGSS: Science and Engineering Practice 4; AP Physics 1: Science Practice 4; AP Physics 1: Science Practice 5	Mathematics (strong); Chemistry (strong); Computer Science (moderate); Research Methods (strong); Technical Writing (moderate)
Unit 1	Introduction to Physics	1.12	Scientific Conclusions	"Drawing conclusions.
**Level**: High School, Undergraduate, Graduate
**Reference**: OpenStax High School Physics, Chapter 1.2: The Scientific Methods; College Physics 2e, Chapter 1.1: Physics: An Introduction; University Physics Volume 1, Chapter 1.7: Solving Problems in Physics"	undergraduate	Yes	Basic scientific method understanding; Data analysis fundamentals; Basic mathematics and statistics; Experimental design concepts; Critical thinking skills; Understanding of variables and controls; Basic graphing and data visualization	intermediate	6	0.85	Requires critical thinking skills; Needs understanding of experimental methods; Involves statistical analysis and uncertainty; Requires integration of multiple concepts; Demands logical reasoning and evidence evaluation	evaluate	0.9	evaluating evidence; making judgments; interpreting data; formulating conclusions; justifying decisions; assessing validity	NGSS: HS-PS1-6; NGSS: SEP-6; AP Physics: SP.6; AP Physics: SP.4	Mathematics (strong); Philosophy (strong); Computer Science (moderate); Psychology (moderate); Technical Writing (moderate)
Unit 1	Introduction to Physics	1.13	Scalar Quantities	"Definition, examples (e.g., mass, time).
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 1.3: The Language of Physics: Physical Quantities and Units; College Physics 2e, Chapter 2.2: Vectors, Scalars, and Coordinate Systems"	undergraduate	Yes	Basic arithmetic operations; Understanding of numbers and units; Basic measurement concepts; Understanding of magnitude	beginner	2	0.95	Basic mathematical concept; Simple definition and identification; Familiar everyday examples; Minimal prerequisite knowledge required; Concrete rather than abstract concepts	remember	0.95	recall; recognize; identify; define	NGSS: HS-PS2-2; AP Physics 1: SP.2.A; AP Physics 1: 1.A.1.1	Mathematics (strong); Chemistry (strong); Economics (moderate); Computer Science (moderate); Biology (moderate)
Unit 1	Introduction to Physics	1.14	Vector Quantities	"Definition, examples (e.g., velocity, force).
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 1.3: The Language of Physics: Physical Quantities and Units; College Physics 2e, Chapter 2.2: Vectors, Scalars, and Coordinate Systems"	undergraduate	Yes	"Basic algebra; Coordinate systems (x-y plane); Scalar quantities; Basic geometry (angles, triangles); Mathematical operations with directed numbers"	beginner	3	0.9	Abstract concept of vectors vs scalars; Requires spatial visualization; Basic mathematical knowledge needed; Multiple components (magnitude and direction); Need to understand real-world applications	understand	0.9	recognizing; classifying; explaining; comparing	NGSS: HS-PS2-1; AP Physics 1: 1.A.1.1; AP Physics 1: 2.A.1.1	Mathematics (strong); Engineering (strong); Geography (moderate); Biology (moderate); Computer Science (moderate)
